image_id,word_id
65097,481
35544,1164
30173,1144
35548,1164
24029,208
51829,1929
38842,1172
05798,1052
65093,1617
35545,1164
55292,998
02108,352
02109,352
35546,1164
55294,998
55295,998
07462,187
02103,352
02106,352
02104,352
02105,352
16073,676
48899,239
48893,1214
48890,1214
48891,1214
48894,1214
00853,1286
38643,1463
25066,156
25067,156
00854,1286
00855,1286
25068,156
25069,156
57483,1252
43873,1869
53903,777
52663,1540
65098,1308
57484,1252
10612,1662
27376,1135
27377,1135
27379,1135
16642,1373
57486,1252
11878,1343
57489,1252
09501,1658
08980,1336
57291,98
44490,1876
25282,1763
07033,1323
19971,876
19970,876
16709,1374
02864,1301
69421,569
19974,876
16707,1374
13114,1682
16703,1374
06335,53
06334,53
06337,53
06331,53
06330,53
06333,53
06332,53
12014,1079
12013,1079
61950,1993
02856,1615
02867,1301
03805,1619
01377,1291
14979,1701
00335,1283
10709,193
10708,193
48021,969
10703,193
10705,193
10704,193
65504,60
65507,36
65506,36
65501,1375
65503,60
38648,1463
60915,793
24889,890
16646,1373
26586,1420
26574,286
45110,957
45111,957
45443,94
05734,3
05730,3
05731,3
05732,3
05733,3
44791,1500
44242,1191
44793,1500
05739,3
43261,1486
26570,286
07532,1643
05229,77
26573,286
42832,67
42833,67
42830,67
42831,67
42836,67
37790,303
24171,887
62818,1272
07864,1648
62819,1272
36840,222
09199,833
16233,1090
14624,58
14625,58
14627,58
14622,58
14623,58
11972,1670
38644,1463
38646,1463
66307,945
66304,434
05619,818
48897,1214
04388,816
16235,1090
24367,1412
37477,566
54170,992
33851,1811
54172,992
54173,992
54176,992
20973,1744
04389,816
04176,483
04171,483
04170,483
17828,203
17827,203
17824,203
17823,203
17822,203
17821,203
17820,203
29383,716
27579,552
24547,1762
27572,552
27573,552
27570,552
27571,552
27575,552
44426,747
44374,236
48029,969
44373,236
37841,930
23055,537
44370,236
23051,537
44544,1497
23650,1756
56972,1008
66009,1444
56973,1008
39596,312
39592,312
59032,1260
59033,1260
16880,1714
65175,650
24253,1122
59034,1260
31232,1792
01231,1607
37419,734
55110,1241
38214,1833
29920,1785
63119,1273
45051,1502
07866,1648
47672,758
50252,1218
66128,418
09519,1065
65888,550
65889,12
66306,167
24519,1123
65881,117
65883,1771
65884,41
65885,1131
47676,758
24251,1122
66504,1933
07787,1060
24518,1123
66502,1232
66123,1167
50411,444
50410,444
66508,447
50415,444
50414,444
55339,247
55338,247
28876,1142
66121,565
65084,52
65085,52
65086,52
65087,353
65088,1616
55627,1953
55337,247
28381,553
07781,1060
07780,1060
06372,1054
27375,1135
28877,1142
31237,1792
04380,1627
60907,793
69419,165
26569,286
69417,1466
69416,932
60909,793
69413,26
69412,226
69411,13
66760,470
66761,470
66762,1272
66764,1033
66765,344
66766,345
66767,345
66769,30
61233,1585
65268,661
54083,598
04223,1624
65265,827
65267,1327
65260,264
01599,1294
65262,107
65263,79
22019,1748
44811,1881
59735,1264
22010,1748
49936,1217
43462,434
43461,434
31909,159
54531,1555
31900,159
31901,159
31903,159
19704,875
16065,676
19707,875
16061,676
16063,676
16069,676
11287,1665
11286,1665
56820,330
56821,330
17627,679
17628,679
20795,531
13532,1082
13534,1082
13536,1082
41822,232
41823,232
41824,232
41826,232
57667,333
43684,435
43682,435
43680,435
43681,435
19560,389
19561,389
19567,389
57953,14
16398,1372
51108,769
52107,1231
20737,691
62500,102
62501,102
62502,102
62503,102
62505,102
62506,102
61191,1985
44970,1884
43689,435
21282,281
49173,96
21280,281
21286,281
46305,439
49174,96
49175,96
49178,96
34382,922
04618,105
04619,105
45656,1894
04348,355
04347,355
04344,355
04343,355
04616,105
04617,105
57087,132
57080,132
57082,132
35115,296
16936,862
12676,1352
35114,296
16930,862
40635,934
13546,197
12226,505
12223,505
12221,1346
63050,1998
62490,1996
12228,505
15709,857
19975,876
15876,1706
07417,364
15706,857
15707,857
10579,501
16704,1374
57880,1254
57883,1254
37305,1828
37306,1828
56837,48
37308,1828
13549,197
58281,1255
59959,619
59953,619
59952,619
59956,619
03342,639
26810,895
03344,639
58687,336
58684,336
58682,336
58683,336
58681,336
05961,650
05960,650
05962,650
05965,650
05964,650
05967,650
22413,1113
12016,1079
24553,1762
33246,1446
24555,1762
45652,1894
58897,1259
33240,1446
14479,375
14478,375
28429,290
28425,290
28424,290
28426,290
16504,1711
28423,290
59123,1975
32863,915
16386,1094
59082,1261
65734,1750
59080,1261
11930,1669
66555,1557
07198,362
55106,1241
55105,1241
07192,362
16396,1372
07191,362
07196,362
07197,362
11931,1669
59003,1974
35218,727
35219,727
40577,1180
35214,1163
35216,1163
35210,1163
35211,1163
35212,1163
07440,824
07441,824
07443,824
07445,824
11560,146
11561,146
11563,146
11566,146
47029,1510
66434,443
07515,1642
17036,1376
39504,740
17037,1376
04971,1628
50529,1220
04972,1628
17039,1376
22247,1112
59001,1974
22240,1112
25049,891
00872,1287
24581,541
25044,891
49934,1217
04102,1311
05877,1053
65471,675
65505,1376
05875,1053
46792,1508
18241,867
05874,1053
24881,700
66439,977
56107,1004
56106,1004
56105,1004
24589,541
07510,1642
25528,1765
27412,551
46795,1508
57278,98
57276,98
57277,98
44975,1884
65695,693
65694,881
65696,205
65691,392
65690,392
65692,204
51824,591
01471,139
06317,823
06315,823
06314,823
05999,1633
44058,575
30223,1432
55202,605
63046,1998
63047,1998
63044,1998
57412,1011
19326,525
57410,1011
57411,1011
57417,1011
19327,525
65523,864
65520,113
65526,382
65524,865
49542,587
49547,587
65479,1089
47104,583
45468,1890
47107,583
65474,1707
43147,1865
47106,583
69492,1241
43149,1865
18246,867
05750,3
49324,1216
05204,357
48376,1211
49899,1923
49898,1923
05759,649
49329,318
49328,318
22810,206
55869,1954
22818,206
29328,902
60465,467
60460,467
60462,467
46315,1899
36791,301
46314,1899
36827,222
66642,1019
10769,372
36828,222
36829,222
58947,1020
54995,601
18897,870
58940,617
18899,870
18898,870
58949,1020
58948,1020
54998,601
54999,601
38622,307
38623,307
38621,307
38626,307
38624,307
27102,1133
45113,957
45114,957
50370,1525
44221,1495
44227,1495
45117,957
38875,1837
16110,1708
03315,1617
48563,1213
18092,1725
18091,1725
48560,1213
30055,718
48054,238
48055,238
48050,238
48051,238
27559,1422
04159,814
66740,101
09238,368
10185,109
10184,109
10187,109
10186,109
10183,109
10188,109
04355,1314
45423,1889
65829,700
03437,182
40760,936
40761,936
03436,182
40764,936
09237,368
47239,966
04000,1310
47237,966
59546,465
59547,465
24268,1410
30297,1786
49933,1217
04352,355
15111,1363
15110,1363
59548,465
01024,1289
65821,1125
25508,1416
62571,1271
43677,1868
31218,1791
48411,1212
31749,42
16355,1093
66245,1848
31740,410
55118,997
37198,731
47301,1201
37796,303
66240,742
12587,671
12584,671
50471,1925
37794,303
46865,1199
49421,1919
66562,601
66563,328
66560,600
66561,601
07618,1644
46867,1199
66564,602
66568,1241
23407,1405
20235,688
06124,1315
62572,1271
06120,1315
06122,1315
65066,635
65067,636
65064,476
65063,1299
65061,256
46182,755
43950,1870
53620,1549
52051,1535
40579,1180
32284,413
44844,1882
28655,405
28652,405
28650,405
66789,348
32282,413
66784,103
66785,103
32830,1154
66781,135
65209,361
32280,1799
65202,652
65200,19
65206,1055
65204,143
65205,143
22743,535
40659,1470
41483,1181
38975,1464
47300,1201
47075,1904
43444,434
43445,434
43446,434
43447,434
55316,455
55315,455
55314,455
32246,65
16004,1370
19765,527
54426,994
32248,65
32249,65
55318,455
56842,48
56843,48
56840,48
56841,48
56846,48
52348,1233
56844,48
17607,275
52344,1233
56848,48
17600,275
44910,1501
25380,543
31838,1442
13512,1685
43557,945
37933,1832
06214,1321
47077,1904
03156,1305
57647,29
57641,29
57640,29
31834,1442
51128,322
51129,322
02431,1612
62791,1592
52169,772
47076,1904
64551,803
52161,1537
46054,964
52163,1537
20861,1395
20711,530
46055,964
62395,1995
60075,1979
16114,1708
03154,1305
12680,1352
57606,1968
41693,1477
42318,1480
66129,419
49152,1215
49156,1215
42314,1480
03155,1305
45638,1893
48209,760
16358,1093
41165,939
45325,1194
40657,935
33652,1449
10297,1660
41166,939
52215,1538
63789,75
63788,75
52214,1538
63781,1597
63780,1597
63783,1597
63785,1597
57712,1569
12209,1346
51721,1532
54146,1945
04376,1627
22457,1114
03158,1305
10516,1069
10517,1069
53565,1548
14981,1701
37363,224
21408,532
37367,224
37364,224
37365,224
21405,693
37369,224
04364,1626
